doorway111,0, 24,6.0, 0.7, 1.3,14, 19.8, 0.0, 0, 0, 0, 1
doorway114,9, 18,2.0, 0.5, 2.5,19.3, 15.9, 0, 0, 0, 1
doorway121,9, 18,2.0, 0.5, 2.5,19.2, 12.1, 0, 0, 0, 1
doorway315,0, 24,5.0, 0.5, 1.3,49, 14.3, 0.0, 0, 0, 0, 1
doorway17,0, 24,0.9, 0.2, 2.1,37.8, 19.9, 0.0, 0, 0, 0, 1
doorway31,0, 24,0.9, 0.2, 2.1,86.1, 16.7, 0.0, 0, 0, 0, 1
doorway32,0, 24,0.9, 0.2, 2.1,76.1, 16.8, 0.0, 0, 0, 0, 1
doorway35,0, 24,0.9, 0.2, 2.1,79.9, 13.5, 0.0, 0, 0, 0, 1
doorway110,0, 24,0.9, 0.2, 2.1,48.3, 13.1, 0.0, 0, 0, 0, 1
doorway112,0, 24,0.9, 0.2, 2.1,14.1, 16.3, 0.0, 0, 0, 0, 1
doorway113,0, 24,2.2, 0.2, 2.1,53.7, 18.5, 0.0, 0, 0, 0, 1
doorway115,0, 24,2.2, 0.2, 2.1,49.6, 18, 0.0, 0, 0, 0, 1
doorway116,9, 18,0.9, 0.2, 2.1,49.6, 16.4, 0.0, 0, 0, 0, 1
doorway117,9, 18,0.9, 0.2, 2.1,49.7, 14.1, 0.0, 0, 0, 0, 1
doorway119,9, 18,0.5, 0.5, 0.5,2.56, 20.4, 0.0, 0, 0, 0, 1
doorway13,0, 24,0.9, 0.2, 2.1,25.1, 22.9, 0.0, 0, 0, 0, 1
doorway14,0, 24,0.9, 0.2, 2.1,28.5, 22.9, 0.0, 0, 0, 0, 1
doorway15,0, 24,0.9, 0.2, 2.1,34.4, 23.1, 0.0, 0, 0, 0, 1
doorway16,0, 24,0.9, 0.2, 2.1,30.5, 19.8, 0.0, 0, 0, 0, 1
doorway18,0, 24,0.9, 0.2, 2.1,46.3, 18, 0.0, 0, 0, 0, 1
doorway19,0, 24,0.9, 0.2, 2.1,49.6, 22, 0.0, 0, 0, 0, 1
doorway310,0, 24,0.9, 0.2, 2.1,42.4, 17.9, 0.0, 0, 0, 0, 1
doorway311,0, 24,0.9, 0.2, 2.1,54.5, 14.2, 0.0, 0, 0, 0, 1
doorway314,0, 24,0.9, 0.2, 2.1,60.6, 24.4, 0.0, 0, 0, 0, 1
doorway316,0, 24,0.9, 0.2, 2.1,48.8, 10.8, 0.0, 0, 0, 0, 1
doorway317,0, 24,2.0, 0.2, 2.1,84.4, 11, 0.0, 0, 0, 0, 1
doorway319,0, 24,2.5, 0.2, 2.1,16.9, 16.9, 0.0, 0, 0, 0, 1
doorway33,0, 24,0.9, 0.2, 2.1,71.8, 16.7, 0.0, 0, 0, 0, 1
doorway34,0, 24,0.9, 0.2, 2.1,65.3, 16.9, 0.0, 0, 0, 0, 1
doorway36,0, 24,0.9, 0.2, 2.1,72.7, 13.7, 0.0, 0, 0, 0, 1
doorway37,0, 24,0.9, 0.2, 2.1,65.6, 13.8, 0.0, 0, 0, 0, 1
doorway38,0, 24,0.9, 0.2, 2.1,56.1, 17.3, 0.0, 0, 0, 0, 1
doorway39,0, 24,0.9, 0.2, 2.1,50.1, 17.5, 0.0, 0, 0, 0, 1
